size,index,value,update_ns
2000,1552,9832,419
2000,113,588,363
2000,1855,3376,446
2000,1175,1485,358
2000,681,1075,492
2000,478,335,333
2000,489,4703,372
2000,1345,3,406
2000,786,6286,346
2000,1517,2981,431
2000,1931,4961,418
2000,1779,7548,301
2000,1983,6083,318
2000,1493,5472,385
2000,855,7900,333
2000,127,2683,345
2000,1312,2086,337
2000,1845,9807,302
2000,1167,4169,353
2000,1244,9607,334
2000,619,8304,372
2000,1845,8680,495
2000,593,8772,360
2000,1731,6366,309
2000,1389,8486,461
2000,1582,6685,381
2000,156,6985,583
2000,1028,550,567
2000,1010,4292,327
2000,1034,6262,363
2000,1552,9832,580
2000,113,588,363
2000,1855,3376,434
2000,1175,1485,331
2000,681,1075,481
2000,478,335,387
2000,489,4703,305
2000,1345,3,439
2000,786,6286,312
2000,1517,2981,416
2000,1931,4961,362
2000,1779,7548,290
2000,1983,6083,344
2000,1493,5472,376
2000,855,7900,344
2000,127,2683,318
2000,1312,2086,287
2000,1845,9807,302
2000,1167,4169,363
2000,1244,9607,314
2000,619,8304,341
2000,1845,8680,244
2000,593,8772,306
2000,1731,6366,277
2000,1389,8486,419
2000,1582,6685,362
2000,156,6985,624
2000,1028,550,547
2000,1010,4292,354
2000,1034,6262,350
2000,1552,9832,497
2000,113,588,396
2000,1855,3376,395
2000,1175,1485,415
2000,681,1075,499
2000,478,335,384
2000,489,4703,497
2000,1345,3,513
2000,786,6286,408
2000,1517,2981,454
2000,1931,4961,390
2000,1779,7548,296
2000,1983,6083,324
2000,1493,5472,447
2000,855,7900,350
2000,127,2683,377
2000,1312,2086,345
2000,1845,9807,312
2000,1167,4169,397
2000,1244,9607,369
2000,619,8304,371
2000,1845,8680,313
2000,593,8772,331
2000,1731,6366,281
2000,1389,8486,433
2000,1582,6685,337
2000,156,6985,701
2000,1028,550,528
2000,1010,4292,346
2000,1034,6262,376
2000,1552,9832,416
2000,113,588,370
2000,1855,3376,392
2000,1175,1485,361
2000,681,1075,447
2000,478,335,402
2000,489,4703,340
2000,1345,3,403
2000,786,6286,360
2000,1517,2981,531
2000,1931,4961,387
